y	P
1850	1.262
1900	1.65
1910	1.75
1920	1.86
1930	2.07
1940	2.3
1950	2.536
1951	2.584
1952	2.631
1953	2.677
1954	2.724
1955	2.772
1956	2.821
1957	2.872
1958	2.924
1959	2.978
1960	3.033	
1961	3.090		
1962	3.149		
1963	3.210	
1964	3.274	
1965	3.340	
1966	3.408	
1967	3.479	
1968	3.552	
1969	3.626	
1970	3.701	
1971	3.776	
1972	3.852	
1973	3.928	
1974	4.003	
1975	4.079	
1976	4.154	
1977	4.229	
1978	4.304	
1979	4.381	
1980	4.458	
1981	4.538	
1982	4.619	
1983	4.702	
1984	4.786	
1985	4.874	
1986	4.964	
1987	5.056	
1988	5.149	
1989	5.241	
1990	5.331	
1991	5.419	
1992	5.504	
1993	5.588	
1994	5.670	
1995	5.751	
1996	5.832	
1997	5.911	
1998	5.989	
1999	6.067	
2000	6.145	
2001	6.223	
2002	6.302	
2003	6.381	
2004	6.461	
2005	6.542	
2006	6.624	
2007	6.706	
2008	6.790	
2009	6.874	
2010	6.958	
2011	7.043	
2012	7.128	
2013	7.213	
2014	7.298	
2015	7.383	
